"filename", "language", "JavaScript", "vue", "XML", "comment", "blank", "total"
"f:\NewWebApp\src\App.vue", "vue", 0, 7, 0, 0, 6, 13
"f:\NewWebApp\src\api\user.js", "JavaScript", 213, 0, 0, 47, 70, 330
"f:\NewWebApp\src\assets\logo\icon_wemeet.svg", "XML", 0, 0, 1, 0, 0, 1
"f:\NewWebApp\src\assets\logo\logout.svg", "XML", 0, 0, 1, 0, 0, 1
"f:\NewWebApp\src\components\layouts\AdminHeader.vue", "vue", 0, 49, 0, 0, 8, 57
"f:\NewWebApp\src\components\layouts\BaseHeader.vue", "vue", 0, 55, 0, 0, 5, 60
"f:\NewWebApp\src\components\layouts\MainHeader.vue", "vue", 0, 166, 0, 3, 19, 188
"f:\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, 121, 0, 0, 13, 134
"f:\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, 269, 0, 4, 26, 299
"f:\NewWebApp\src\components\layouts\MeetingHeader.vue", "vue", 0, 49, 0, 0, 9, 58
"f:\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, 124, 0, 9, 16, 149
"f:\NewWebApp\src\components\search\SearchFriend.vue", "vue", 0, 289, 0, 3, 42, 334
"f:\NewWebApp\src\components\usersetting\ProfileChange.vue", "vue", 0, 38, 0, 0, 7, 45
"f:\NewWebApp\src\main.js", "JavaScript", 23, 0, 0, 0, 7, 30
"f:\NewWebApp\src\router\index.js", "JavaScript", 131, 0, 0, 0, 3, 134
"f:\NewWebApp\src\stores\counter.js", "JavaScript", 11, 0, 0, 22, 9, 42
"f:\NewWebApp\src\utils\request.js", "JavaScript", 31, 0, 0, 1, 8, 40
"f:\NewWebApp\src\views\admin\Admin.vue", "vue", 0, 172, 0, 0, 21, 193
"f:\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, 175, 0, 4, 25, 204
"f:\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, 141, 0, 4, 16, 161
"f:\NewWebApp\src\views\main\BookMeeting.vue", "vue", 0, 137, 0, 0, 17, 154
"f:\NewWebApp\src\views\main\Chat.vue", "vue", 0, 453, 0, 2, 54, 509
"f:\NewWebApp\src\views\main\Friend.vue", "vue", 0, 409, 0, 1, 59, 469
"f:\NewWebApp\src\views\main\JoinMeeting.vue", "vue", 0, 116, 0, 4, 16, 136
"f:\NewWebApp\src\views\main\Main.vue", "vue", 0, 59, 0, 0, 7, 66
"f:\NewWebApp\src\views\main\Record.vue", "vue", 0, 120, 0, 0, 12, 132
"f:\NewWebApp\src\views\main\RecordDetail.vue", "vue", 0, 32, 0, 0, 6, 38
"f:\NewWebApp\src\views\main\Schedule.vue", "vue", 0, 206, 0, 1, 18, 225
"f:\NewWebApp\src\views\main\Setting.vue", "vue", 0, 7, 0, 0, 2, 9
"f:\NewWebApp\src\views\main\User.vue", "vue", 0, 339, 0, 2, 36, 377
"f:\NewWebApp\src\views\meeting\Meeting.vue", "vue", 0, 364, 0, 0, 30, 394
"f:\NewWebApp\src\views\register\Register.vue", "vue", 0, 130, 0, 0, 17, 147
"f:\NewWebApp\src\views\test\button.vue", "vue", 0, 44, 0, 0, 4, 48
"f:\NewWebApp\src\views\test\plusIcon.vue", "vue", 0, 24, 0, 0, 0, 24
"f:\NewWebApp\src\views\test\test.vue", "vue", 0, 90, 0, 0, 17, 107
"Total", "-", 409, 4185, 2, 107, 605, 5308
